hex_id,timestamp,day_type,residential_kw,ev_unmanaged_kw,total_demand_kw,capacity_limit_kw,capacity_breach
8960145b483ffff,2026-05-01 00:00:00,weekday,135.36,0.0,135.36,150.0,False
8960145b483ffff,2026-05-01 01:00:00,weekday,125.0,0.0,125.0,150.0,False
8960145b483ffff,2026-05-01 02:00:00,weekday,112.94,0.0,112.94,150.0,False
8960145b483ffff,2026-05-01 03:00:00,weekday,100.0,0.0,100.0,150.0,False
8960145b483ffff,2026-05-01 04:00:00,weekday,87.06,0.0,87.06,150.0,False
8960145b483ffff,2026-05-01 05:00:00,weekday,75.0,0.0,75.0,150.0,False
8960145b483ffff,2026-05-01 06:00:00,weekday,64.64,0.0,64.64,150.0,False
8960145b483ffff,2026-05-01 07:00:00,weekday,56.7,0.0,56.7,150.0,False
8960145b483ffff,2026-05-01 08:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-01 09:00:00,weekday,50.0,0.0,50.0,150.0,False
8960145b483ffff,2026-05-01 10:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-01 11:00:00,weekday,56.7,0.0,56.7,150.0,False
8960145b483ffff,2026-05-01 12:00:00,weekday,64.64,0.0,64.64,150.0,False
8960145b483ffff,2026-05-01 13:00:00,weekday,75.0,0.0,75.0,150.0,False
8960145b483ffff,2026-05-01 14:00:00,weekday,87.06,0.0,87.06,150.0,False
8960145b483ffff,2026-05-01 15:00:00,weekday,100.0,0.0,100.0,150.0,False
8960145b483ffff,2026-05-01 16:00:00,weekday,112.94,0.0,112.94,150.0,False
8960145b483ffff,2026-05-01 17:00:00,weekday,125.0,0.0,125.0,150.0,False
8960145b483ffff,2026-05-01 18:00:00,weekday,135.36,54.98,190.34,150.0,True
8960145b483ffff,2026-05-01 19:00:00,weekday,143.3,78.03,221.33,150.0,True
8960145b483ffff,2026-05-01 20:00:00,weekday,148.3,69.28,217.58,150.0,True
8960145b483ffff,2026-05-01 21:00:00,weekday,150.0,63.95,213.95,150.0,True
8960145b483ffff,2026-05-01 22:00:00,weekday,148.3,46.24,194.54,150.0,True
8960145b483ffff,2026-05-01 23:00:00,weekday,143.3,0.0,143.3,150.0,False
8960145b483ffff,2026-05-02 00:00:00,weekend,126.5,0.0,126.5,150.0,False
8960145b483ffff,2026-05-02 01:00:00,weekend,118.54,0.0,118.54,150.0,False
8960145b483ffff,2026-05-02 02:00:00,weekend,110.0,0.0,110.0,150.0,False
8960145b483ffff,2026-05-02 03:00:00,weekend,101.46,0.0,101.46,150.0,False
8960145b483ffff,2026-05-02 04:00:00,weekend,93.5,0.0,93.5,150.0,False
8960145b483ffff,2026-05-02 05:00:00,weekend,86.67,0.0,86.67,150.0,False
8960145b483ffff,2026-05-02 06:00:00,weekend,81.42,0.0,81.42,150.0,False
8960145b483ffff,2026-05-02 07:00:00,weekend,78.12,0.0,78.12,150.0,False
8960145b483ffff,2026-05-02 08:00:00,weekend,77.0,0.0,77.0,150.0,False
8960145b483ffff,2026-05-02 09:00:00,weekend,78.12,0.0,78.12,150.0,False
8960145b483ffff,2026-05-02 10:00:00,weekend,81.42,34.68,116.1,150.0,False
8960145b483ffff,2026-05-02 11:00:00,weekend,86.67,31.74,118.41,150.0,False
8960145b483ffff,2026-05-02 12:00:00,weekend,93.5,55.99,149.49,150.0,False
8960145b483ffff,2026-05-02 13:00:00,weekend,101.46,48.03,149.49,150.0,False
8960145b483ffff,2026-05-02 14:00:00,weekend,110.0,51.24,161.24,150.0,True
8960145b483ffff,2026-05-02 15:00:00,weekend,118.54,30.62,149.16,150.0,False
8960145b483ffff,2026-05-02 16:00:00,weekend,126.5,59.1,185.6,150.0,True
8960145b483ffff,2026-05-02 17:00:00,weekend,133.33,54.97,188.31,150.0,True
8960145b483ffff,2026-05-02 18:00:00,weekend,138.58,36.37,174.95,150.0,True
8960145b483ffff,2026-05-02 19:00:00,weekend,141.88,35.45,177.33,150.0,True
8960145b483ffff,2026-05-02 20:00:00,weekend,143.0,35.5,178.5,150.0,True
8960145b483ffff,2026-05-02 21:00:00,weekend,141.88,39.13,181.0,150.0,True
8960145b483ffff,2026-05-02 22:00:00,weekend,138.58,45.74,184.32,150.0,True
8960145b483ffff,2026-05-02 23:00:00,weekend,133.33,0.0,133.33,150.0,False
8960145b483ffff,2026-05-03 00:00:00,weekend,126.5,0.0,126.5,150.0,False
8960145b483ffff,2026-05-03 01:00:00,weekend,118.54,0.0,118.54,150.0,False
8960145b483ffff,2026-05-03 02:00:00,weekend,110.0,0.0,110.0,150.0,False
8960145b483ffff,2026-05-03 03:00:00,weekend,101.46,0.0,101.46,150.0,False
8960145b483ffff,2026-05-03 04:00:00,weekend,93.5,0.0,93.5,150.0,False
8960145b483ffff,2026-05-03 05:00:00,weekend,86.67,0.0,86.67,150.0,False
8960145b483ffff,2026-05-03 06:00:00,weekend,81.42,0.0,81.42,150.0,False
8960145b483ffff,2026-05-03 07:00:00,weekend,78.12,0.0,78.12,150.0,False
8960145b483ffff,2026-05-03 08:00:00,weekend,77.0,0.0,77.0,150.0,False
8960145b483ffff,2026-05-03 09:00:00,weekend,78.12,0.0,78.12,150.0,False
8960145b483ffff,2026-05-03 10:00:00,weekend,81.42,42.96,124.38,150.0,False
8960145b483ffff,2026-05-03 11:00:00,weekend,86.67,38.74,125.4,150.0,False
8960145b483ffff,2026-05-03 12:00:00,weekend,93.5,48.36,141.86,150.0,False
8960145b483ffff,2026-05-03 13:00:00,weekend,101.46,34.18,135.64,150.0,False
8960145b483ffff,2026-05-03 14:00:00,weekend,110.0,38.76,148.76,150.0,False
8960145b483ffff,2026-05-03 15:00:00,weekend,118.54,40.99,159.53,150.0,True
8960145b483ffff,2026-05-03 16:00:00,weekend,126.5,43.68,170.18,150.0,True
8960145b483ffff,2026-05-03 17:00:00,weekend,133.33,53.56,186.89,150.0,True
8960145b483ffff,2026-05-03 18:00:00,weekend,138.58,35.99,174.57,150.0,True
8960145b483ffff,2026-05-03 19:00:00,weekend,141.88,45.43,187.3,150.0,True
8960145b483ffff,2026-05-03 20:00:00,weekend,143.0,47.77,190.77,150.0,True
8960145b483ffff,2026-05-03 21:00:00,weekend,141.88,31.39,173.27,150.0,True
8960145b483ffff,2026-05-03 22:00:00,weekend,138.58,48.23,186.81,150.0,True
8960145b483ffff,2026-05-03 23:00:00,weekend,133.33,0.0,133.33,150.0,False
8960145b483ffff,2026-05-04 00:00:00,weekday,135.36,0.0,135.36,150.0,False
8960145b483ffff,2026-05-04 01:00:00,weekday,125.0,0.0,125.0,150.0,False
8960145b483ffff,2026-05-04 02:00:00,weekday,112.94,0.0,112.94,150.0,False
8960145b483ffff,2026-05-04 03:00:00,weekday,100.0,0.0,100.0,150.0,False
8960145b483ffff,2026-05-04 04:00:00,weekday,87.06,0.0,87.06,150.0,False
8960145b483ffff,2026-05-04 05:00:00,weekday,75.0,0.0,75.0,150.0,False
8960145b483ffff,2026-05-04 06:00:00,weekday,64.64,0.0,64.64,150.0,False
8960145b483ffff,2026-05-04 07:00:00,weekday,56.7,0.0,56.7,150.0,False
8960145b483ffff,2026-05-04 08:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-04 09:00:00,weekday,50.0,0.0,50.0,150.0,False
8960145b483ffff,2026-05-04 10:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-04 11:00:00,weekday,56.7,0.0,56.7,150.0,False
8960145b483ffff,2026-05-04 12:00:00,weekday,64.64,0.0,64.64,150.0,False
8960145b483ffff,2026-05-04 13:00:00,weekday,75.0,0.0,75.0,150.0,False
8960145b483ffff,2026-05-04 14:00:00,weekday,87.06,0.0,87.06,150.0,False
8960145b483ffff,2026-05-04 15:00:00,weekday,100.0,0.0,100.0,150.0,False
8960145b483ffff,2026-05-04 16:00:00,weekday,112.94,0.0,112.94,150.0,False
8960145b483ffff,2026-05-04 17:00:00,weekday,125.0,0.0,125.0,150.0,False
8960145b483ffff,2026-05-04 18:00:00,weekday,135.36,46.82,182.18,150.0,True
8960145b483ffff,2026-05-04 19:00:00,weekday,143.3,42.6,185.9,150.0,True
8960145b483ffff,2026-05-04 20:00:00,weekday,148.3,77.96,226.25,150.0,True
8960145b483ffff,2026-05-04 21:00:00,weekday,150.0,78.63,228.63,150.0,True
8960145b483ffff,2026-05-04 22:00:00,weekday,148.3,72.34,220.63,150.0,True
8960145b483ffff,2026-05-04 23:00:00,weekday,143.3,0.0,143.3,150.0,False
8960145b483ffff,2026-05-05 00:00:00,weekday,135.36,0.0,135.36,150.0,False
8960145b483ffff,2026-05-05 01:00:00,weekday,125.0,0.0,125.0,150.0,False
8960145b483ffff,2026-05-05 02:00:00,weekday,112.94,0.0,112.94,150.0,False
8960145b483ffff,2026-05-05 03:00:00,weekday,100.0,0.0,100.0,150.0,False
8960145b483ffff,2026-05-05 04:00:00,weekday,87.06,0.0,87.06,150.0,False
8960145b483ffff,2026-05-05 05:00:00,weekday,75.0,0.0,75.0,150.0,False
8960145b483ffff,2026-05-05 06:00:00,weekday,64.64,0.0,64.64,150.0,False
8960145b483ffff,2026-05-05 07:00:00,weekday,56.7,0.0,56.7,150.0,False
8960145b483ffff,2026-05-05 08:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-05 09:00:00,weekday,50.0,0.0,50.0,150.0,False
8960145b483ffff,2026-05-05 10:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-05 11:00:00,weekday,56.7,0.0,56.7,150.0,False
8960145b483ffff,2026-05-05 12:00:00,weekday,64.64,0.0,64.64,150.0,False
8960145b483ffff,2026-05-05 13:00:00,weekday,75.0,0.0,75.0,150.0,False
8960145b483ffff,2026-05-05 14:00:00,weekday,87.06,0.0,87.06,150.0,False
8960145b483ffff,2026-05-05 15:00:00,weekday,100.0,0.0,100.0,150.0,False
8960145b483ffff,2026-05-05 16:00:00,weekday,112.94,0.0,112.94,150.0,False
8960145b483ffff,2026-05-05 17:00:00,weekday,125.0,0.0,125.0,150.0,False
8960145b483ffff,2026-05-05 18:00:00,weekday,135.36,52.18,187.54,150.0,True
8960145b483ffff,2026-05-05 19:00:00,weekday,143.3,43.91,187.21,150.0,True
8960145b483ffff,2026-05-05 20:00:00,weekday,148.3,67.37,215.67,150.0,True
8960145b483ffff,2026-05-05 21:00:00,weekday,150.0,57.61,207.61,150.0,True
8960145b483ffff,2026-05-05 22:00:00,weekday,148.3,44.88,193.18,150.0,True
8960145b483ffff,2026-05-05 23:00:00,weekday,143.3,0.0,143.3,150.0,False
8960145b483ffff,2026-05-06 00:00:00,weekday,135.36,0.0,135.36,150.0,False
8960145b483ffff,2026-05-06 01:00:00,weekday,125.0,0.0,125.0,150.0,False
8960145b483ffff,2026-05-06 02:00:00,weekday,112.94,0.0,112.94,150.0,False
8960145b483ffff,2026-05-06 03:00:00,weekday,100.0,0.0,100.0,150.0,False
8960145b483ffff,2026-05-06 04:00:00,weekday,87.06,0.0,87.06,150.0,False
8960145b483ffff,2026-05-06 05:00:00,weekday,75.0,0.0,75.0,150.0,False
8960145b483ffff,2026-05-06 06:00:00,weekday,64.64,0.0,64.64,150.0,False
8960145b483ffff,2026-05-06 07:00:00,weekday,56.7,0.0,56.7,150.0,False
8960145b483ffff,2026-05-06 08:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-06 09:00:00,weekday,50.0,0.0,50.0,150.0,False
8960145b483ffff,2026-05-06 10:00:00,weekday,51.7,0.0,51.7,150.0,False
8960145b483ffff,2026-05-06 11:00:00,weekday,56.7,0.0,56.7,150.0,False
